company_id,Registration Number,Full Name,Registration Date,State,Registered Address
C 107688,C 107688,ALFRED NOBEL BUSINESS COLLEGE LTD.,12/2/2024,Active,"['SUITE 8 TA’ MALLIA BUILDINGS', 'Triq in- Negozju', 'Mriehel Industrial Zone', 'BKR 3000', 'Malta']"
C 107689,C 107689,Safran Trading and Shipping Ltd.,13-02-2024,Active,"['THE CORE', ""TRIQ IL- WIED TA' L-IMSIDA"", 'MSIDA', 'MSD 9021', 'Malta']"
C 107690,C 107690,Rotor Limited,13-02-2024,Active,"['9', 'TRIQ WIED GHOMOR', 'SAN GILJAN', 'STJ 2041', 'Malta']"
C 107691,C 107691,TOP DESTINATION TOURS LTD.,7/2/2024,Active,"['1 FLOUR 31', 'TRIQ IT- TORRI', 'SLIEMA', 'SLM 1609', 'Malta']"
C 107692,C 107692,rustbattle Limited,13-02-2024,Active,"['34', 'TRIQ WIED GHOMOR', 'SAN GILJAN', 'STJ 2043', 'Malta']"
C 107693,C 107693,Med Sea Properties Ltd.,13-02-2024,Active,"['GELMUS CRT APPARTMENT 4', 'TRIQ PAPA GWANNI PAWLU II', 'RABAT, GHAWDEX', 'VCT 9045', 'Malta']"
C 107694,C 107694,VENTUREMAX LIMITED,31-01-2024,Active,"['229 COMMERCIAL AREA', 'TRIQ IT- TORRI', 'SLIEMA', 'SLM 1601', 'Malta']"
C 107695,C 107695,AURELIUS Services Ltd.,13-02-2024,Active,"['97', 'TRIQ WINDSOR', 'SLIEMA', 'SLM 1853', 'Malta']"
C 107696,C 107696,People's Place LIMITED,13-02-2024,Active,"['LOWLANDS BLOCK C FLAT 5', 'TRIQ CENSU FARRUGIA', 'MSIDA', 'MSD 1090', 'Malta']"
C 107697,C 107697,SERBIA - MALTA JV Ltd.,8/2/2024,Active,"['14', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 2070', 'Malta']"
C 107698,C 107698,DJL Group Limited,13-02-2024,Active,"['IL - GIRNA', 'TRIQ IT- TEMPESTA', 'QRENDI', 'QRD 2400', 'Malta']"
C 107699,C 107699,FRT Consulting Ltd.,14-02-2024,Active,"['40 APT 2', 'TRIQ L- IMGHAZEL', 'SWIEQI', 'SWQ 3150', 'Malta']"
C 107700,C 107700,Longwood Company Limited,13-02-2024,Active,"['123', 'TRIQ MELITA', 'VALLETTA', 'VLT 1123', 'Malta']"
C 107701,C 107701,Papatya Holding Ltd.,14-02-2024,Active,"['36 FLT 3', 'TRIQ L- ABBATE SAVOIA', 'NAXXAR', 'NXR 1141', 'Malta']"
C 107702,C 107702,Massenet Investments Limited,6/2/2024,Active,"['2', 'TRIQ SIR AUGUSTUS BARTOLO', 'TA XBIEX', 'XBX 1091', 'Malta']"
C 107703,C 107703,Elevate Cloud Trading Ltd.,14-02-2024,Active,"['AA PH CAMILLERI BUILDINGS', 'TRIQ L- ORATORJU', 'NAXXAR', 'NXR 2504', 'Malta']"
C 107704,C 107704,ROMACO International Careers LTD.,14-02-2024,Active,"['NO.11 THE OFFICE CENTRE', 'TRIQ DUN KARM', 'IKLIN', 'IKL 9030', 'Malta']"
C 107705,C 107705,MelaTech Ltd.,14-02-2024,Active,"['7 NARCIS', 'TRIQ PATRI ANASTASJU CUSCHIERI', 'IKLIN', 'IKL 1440', 'Malta']"
C 107706,C 107706,VentureMax Advanced Limited,6/2/2024,Active,"['229 COMMERCIAL AREA', 'TRIQ IT- TORRI', 'SLIEMA', 'SLM 1601', 'Malta']"
C 107707,C 107707,Siroco Holding Limited,14-02-2024,Active,"['SMARTCITY MALTA SCM02 UNIT 301', 'RICASOLI', 'KALKARA', 'SCM 1001', 'Malta']"
C 107708,C 107708,Deckhand Ltd.,5/2/2024,Active,"['46', 'TRIQ PAWLU INGUANEZ', 'RABAT', 'RBT 1950', 'Malta']"
C 107709,C 107709,New Madeira Company Limited,14-02-2024,Active,"['89', 'TRIQ SAN GWANN', 'VALLETTA', 'VLT 1165', 'Malta']"
C 107710,C 107710,Ocean Osiris Limited,1/2/2024,Active,"['46 ALMANDIN', 'TRIQ SAN MIKIEL', 'ZURRIEQ', 'ZRQ 2104', 'Malta']"
C 107711,C 107711,ISSA - International Studio School of Arts in Malta LIMITED,14-02-2024,Active,"['123', 'TRIQ MELITA', 'VALLETTA', 'VLT 1123', 'Malta']"
C 107712,C 107712,Island Merchants Ltd.,13-02-2024,Active,"['3 ADVANCE BUSINESS CENTRE', ""TRIQ GUZE' FLORES"", 'SANTA VENERA', 'SVR 1950', 'Malta']"
C 107713,C 107713,Saasvaap Malta Ltd.,15-02-2024,Active,"['58', 'XATT L- IMSIDA', 'MSIDA', 'MSD 9043', 'Malta']"
C 107714,C 107714,EDEAC INTERNATIONAL LTD.,15-02-2024,Active,"['LEVEL 5 CAROLINA COURT', ""TRIQ GIUSEPPE CALI'"", 'TA XBIEX', 'XBX 1425', 'Malta']"
C 107715,C 107715,DK Lobster Limited,15-02-2024,Active,"['DIZZ BUILDINGS', 'TRIQ IL- HARRUB', 'SANTA VENERA', 'SVR 1700', 'Malta']"
C 107716,C 107716,TLOOKREALVFX LIMITED,15-02-2024,Active,"['17', 'TRIQ IL- MODD', 'SWIEQI', 'SWQ 2373', 'Malta']"
C 107717,C 107717,Ozmavity Holding Ltd.,15-02-2024,Active,"['CENTRIS BUSINESS GATEWAY, LEVEL 4/W, TRIQ IS-SALIB TAL-IMRIEHEL, ZONE 3,', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 3020', 'Malta']"
C 107718,C 107718,Elev8 Solutions Limited,15-02-2024,Active,"['37 WOODSTOCK', 'TRIQ CARMELO FARRUGIA', 'LIJA', 'LJA 1101', 'Malta']"
C 107719,C 107719,Zengo Malta LIMITED,15-02-2024,Active,"['MERCURY TOWERS LEVEL 33', 'TRIQ SAN GORG', 'SAN GILJAN', 'STJ 3202', 'Malta']"
C 107720,C 107720,AROYA CRUISES LIMITED,13-02-2024,Active,"['18/2', 'TRIQ NOFS IN-NHAR', 'VALLETTA', 'VLT 1102', 'Malta']"
C 107721,C 107721,NP Transshipment Services LTD.,30-01-2024,Active,"['25/16 VINCENTI BUIDINGS', 'TRIQ ID- DEJQA', 'VALLETTA', 'VLT 1432', 'Malta']"
C 107722,C 107722,Dextris Ltd.,15-02-2024,Active,"['FLAT 2 REFRESHING WATER', 'TRIQ WIED IR-RAJJES', 'GHAJNSIELEM, GHAWDEX', 'GSM 1220', 'Malta']"
C 107723,C 107723,Julizo Finance Ltd.,15-02-2024,Active,"['FLAT 2 REFRESHING WATER', 'TRIQ WIED IR-RAJJES', 'GHAJNSIELEM, GHAWDEX', 'GSM 1220', 'Malta']"
C 107724,C 107724,My Accommodation LTD.,15-02-2024,Active,"['23 OFFICE 2', 'TRIQ GIUSEPPE CALLEJA', 'SWATAR MSIDA', 'MSD 2270', 'Malta']"
C 107725,C 107725,Online iNeed Ltd.,15-02-2024,Active,"['71 FL 5/6', 'TRIQ MATTY GRIMA', 'BORMLA', 'BLM 1168', 'Malta']"
C 107726,C 107726,BR DISTRIBUTORS Ltd.,15-02-2024,Active,"['41 BROWNRIGG', 'TRIQ INGUANEZ', 'RABAT', 'RBT 2412', 'Malta']"
C 107727,C 107727,HugoWoof Limited,15-02-2024,Active,"['34', 'TRIQ WIED GHOMOR', 'SAN GILJAN', 'STJ 2043', 'Malta']"
C 107728,C 107728,CCCLVI Ltd.,15-02-2024,Active,"['86', 'TRIQ IL- MERKANTI', 'VALLETTA', 'VLT 1177', 'Malta']"
C 107729,C 107729,CCXLVII LTD.,15-02-2024,Active,"['86', 'TRIQ IL- MERKANTI', 'VALLETTA', 'VLT 1177', 'Malta']"
C 107730,C 107730,PARTSOL Ltd.,15-02-2024,Active,"['2', 'TRIQ IL- GIZI', 'FGURA', 'FGR 1042', 'Malta']"
C 107731,C 107731,Stougaard Consulting Ltd.,15-02-2024,Active,"['SOHO THE STRAND - FAWWARA BUILDING', 'TRIQ L- IMSIDA', 'GZIRA', 'GZR 1401', 'Malta']"
C 107732,C 107732,Aeroyah Limited,15-02-2024,Active,"['260', 'TRIQ SAN ALBERT', 'GZIRA', 'GZR 1150', 'Malta']"
C 107733,C 107733,GRANTURO MALTA LTD.,15-02-2024,Active,"['LEVEL 3 (SUITE NO. 3363) TOWER BUSINESS CENTRE', 'TRIQ IT- TORRI', 'SWATAR BIRKIRKARA', 'BKR 4013', 'Malta']"
C 107734,C 107734,GRANTURO ONTARIO LTD.,15-02-2024,Active,"['LEVEL 3 (SUITE NO. 3364) TOWER BUSINESS CENTRE', 'TRIQ IT- TORRI, SWATAR', 'BIRKIRKARA', 'BKR 4013', 'Malta']"
C 107735,C 107735,Dave Duck Limited,15-02-2024,Active,"['ADD MALTA LEVEL 2 HARD ROCKS BUSINESS PARK', 'TRIQ BURMARRAD', 'NAXXAR', 'NXR 6345', 'Malta']"
C 107736,C 107736,Expansion Europe Limited,15-02-2024,Active,"['110', 'TRIQ IT- TORRI', 'MSIDA', 'MSD 1825', 'Malta']"
C 107737,C 107737,Anton Caruana Enterprises Limited,16-02-2024,Active,"['CARUANA BUILDINGS HANDAQ INDUCTRIAL ESTATE', 'TRIQ TAL- HANDAQ', 'QORMI', 'QRM 4001', 'Malta']"
C 107738,C 107738,Frankie Caruana Trading Limited,16-02-2024,Active,"['BILLI 51', 'TRIQ MICHELE BUSUTTIL', 'RABAT, GHAWDEX', 'VCT 2842', 'Malta']"
C 107739,C 107739,FREYA LIMITED,8/2/2024,Active,"['143 DUPLEX 1', 'TRIQ IT- TORRI', 'SLIEMA', 'SLM 1604', 'Malta']"
C 107740,C 107740,QUAIMA LTD.,14-02-2024,Active,"['5/1', 'TRIQ IL- MERKANTI', 'VALLETTA', 'VLT 1171', 'Malta']"
C 107741,C 107741,Seaforce Investment Limited,16-02-2024,Active,"['40 VILLA FAIRHOLME', 'TRIQ SIR AUGUSTUS BARTOLO', 'TA XBIEX', 'XBX 1095', 'Malta']"
C 107742,C 107742,The Ask Group Ltd.,16-02-2024,Active,"['52/8', ""TRIQ SANT'ORSLA"", 'VALLETTA', 'VLT 1232', 'Malta']"
C 107743,C 107743,Ozmavity Ltd.,16-02-2024,Active,"['CENTRIS BUSINESS GATEWAY, LEVEL 4/W, TRIQ IS-SALIB TAL-IMRIEHEL, ZONE 3,', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD', 'Malta']"
C 107744,C 107744,Siroco Limited,16-02-2024,Active,"['SMARTCITY MALTA SCM02 UNIT 301', 'RICASOLI', 'KALKARA', 'SCM 1001', 'Malta']"
C 107745,C 107745,Ventoma Limited,16-02-2024,Active,"['57 MARTIN’S FLATS FLAT 1', 'TRIQ WINDSOR', 'SLIEMA', 'SLM 1855', 'Malta']"
C 107746,C 107746,Studio Te fit-Tazza Limited,16-02-2024,Active,"['6 SOLEADO', 'TRIQ JAMES SMITH', 'SAN PAWL IL-BAHAR', 'SPB 1107', 'Malta']"
C 107747,C 107747,BAUHAUS DEVELOPMENTS LIMITED,16-02-2024,Active,"['48-52', 'TRIQ IL- MITHNA', 'QORMI', 'QRM 3105', 'Malta']"
C 107748,C 107748,Edge Capital Limited,16-02-2024,Active,"['LEVEL G (OFFICE 1/1155) QUANTUM HOUSE 75', 'TRIQ L- ABATE RIGORD', 'TA XBIEX', 'XBX 1120', 'Malta']"
C 107749,C 107749,Merlot LIMITED,16-02-2024,Active,"['9', 'TRIQ ANTONIO MICALLEF', 'ATTARD', 'ATD 2261', 'Malta']"
C 107750,C 107750,E.B ESTATES LIMITED,8/2/2024,Active,"['ST JOSEPH', 'TRIQ ID- DIFIZA CIVILI', 'MOSTA', 'MST 1741', 'Malta']"
C 107751,C 107751,AVINI TECHNOLOGIES LTD.,14-02-2024,Active,"['1A GRAVEL ROW', 'TRIQ REGGIE MILLER', 'GZIRA', 'GZR 1544', 'Malta']"
C 107752,C 107752,Nona's World Ltd.,19-02-2024,Active,"['CENTRAL BUSINESS GATEWAY, LEVEL 4/W, TRIQ IS-SALIB TAL-IMRIEHEL, ZONE 3,', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 3020', 'Malta']"
C 107753,C 107753,GRANTURO PLATFORM LTD.,19-02-2024,Active,"['LEVEL 3 (SUITE 3361) TOWER BUSINESS CENTRE', 'TRIQ IT- TORRI', 'SWATAR BIRKIRKARA', 'BKR 4013', 'Malta']"
C 107754,C 107754,BARSALI INVESTMENT LIMITED,8/2/2024,Active,"['143 DUPLEX 1', 'TRIQ IT- TORRI', 'SLIEMA', 'SLM 1604', 'Malta']"
C 107755,C 107755,MSI Malta Ltd.,19-02-2024,Active,"['4', 'TRIQ A. DE SAAVEDRA', 'NAXXAR', 'NXR 2232', 'Malta']"
C 107758,C 107758,THE GATEWAY OF INDIA LTD.,12/2/2024,Active,"['208', 'TRIQ L- IMDINA', 'QORMI', 'QRM 9016', 'Malta']"
C 107759,C 107759,UNIQUEBETA LTD.,12/2/2024,Active,"['64 EXCALIBUR', 'TRIQ B. BONTADINI', 'BIRKIRKARA', 'BKR 1737', 'Malta']"
C 107760,C 107760,BETAGLOBE LTD.,12/2/2024,Active,"['64 EXCALIBUR', 'TRIQ B. BONTADINI', 'BIRKIRKARA', 'BKR 1737', 'Malta']"
C 107761,C 107761,La Lucchese Ltd.,19-02-2024,Active,"['102 SUITE 3', 'TRIQ SANTA KATERINA', 'ATTARD', 'ATD 2605', 'Malta']"
C 107765,C 107765,Ineluctabilis Ltd.,19-02-2024,Active,"['LEVEL 3 (SUITE NO. 2987) TOWER BUSINESS CENTRE', 'TRIQ IT- TORRI, SWATAR', 'BIRKIRKARA', 'BKR 4013', 'Malta']"
C 107766,C 107766,History Maritime Ltd.,12/2/2024,Active,"['198', 'TRIQ L- IFRAN', 'VALLETTA', 'VLT 1455', 'Malta']"
C 107767,C 107767,Adrian Maritime Ltd.,12/2/2024,Active,"['198', 'TRIQ L- IFRAN', 'VALLETTA', 'VLT 1455', 'Malta']"
C 107768,C 107768,Waggos LIMITED,15-02-2024,Active,"['PAXTON COURT', 'TRIQ IL- MENSIJA', 'SAN GILJAN', 'STJ 1965', 'Malta']"
C 107769,C 107769,Ruinart Limited,19-02-2024,Active,"['Q2 LEVEL 7 QUAD CENTRAL TRIQ L-ESPORTATURI', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 1040', 'Malta']"
C 107771,C 107771,Magicarpe Ltd.,20-02-2024,Active,"['86', 'TRIQ IL- MERKANTI', 'VALLETTA', 'VLT 1177', 'Malta']"
C 107772,C 107772,REDPALM TECHNOLOGY SERVICES LIMITED,20-02-2024,Active,"['15 LEVEL 2 CORPORATE SUITES', 'TRIQ IN- NAXXAR', 'BIRKIRKARA', 'BKR 9048', 'Malta']"
C 107773,C 107773,Lindenberg Consulting Holding Ltd.,20-02-2024,Active,"['CENTRIS BUSINESS GATEWAY, LEVEL 4/W, TRIQ IS-SALIB TAL-IMRIEHEL, ZONE 3,', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 3020', 'Malta']"
C 107774,C 107774,European Tourism and Events Training Academy Limited,20-02-2024,Active,"['3', 'TRIQ SANTA LUCIJA, SQAQ NRU. 5', 'NAXXAR', 'NXR 1550', 'Malta']"
C 107775,C 107775,INFINITE FUSION HOTELS LIMITED,20-02-2024,Active,"['FUSION HOUSE LEVEL 3', 'MISRAH IZ- ZEBBUG', 'QORMI', 'QRM 3931', 'Malta']"
C 107776,C 107776,Stimmler Capital Ltd.,20-02-2024,Active,"['86', 'TRIQ IL- MERKANTI', 'VALLETTA', 'VLT 1177', 'Malta']"
C 107777,C 107777,PBK Company Limited,20-02-2024,Active,"['TRILITHON CRT FL 27', 'TRIQ IL- KURAZZA', 'SAN PAWL IL-BAHAR', 'SPB 2770', 'Malta']"
C 107778,C 107778,VOLUCIA HOLDING LTD.,20-02-2024,Active,"['LEVEL G (OFFICE 1/1159) QUANTUM HOUSE 75', 'TRIQ L- ABATE RIGORD', 'TA XBIEX', 'XBX 1120', 'Malta']"
C 107779,C 107779,"Professional Construction Services, Engineering And Supplies Ltd.",20-02-2024,Active,"['30 MULBERRY PLACE MAISONETTE 2', 'TRIQ IL- KARENZA', 'BALZAN', 'BZN 1661', 'Malta']"
C 107780,C 107780,GIG Platform Holdco Ltd.,15-02-2024,Active,"['@GIG BEACH', 'TRIQ ID-DRAGUNARA', 'Paceville', 'STJ 3148', 'Malta']"
C 107781,C 107781,Memento Plus Malta Limited,20-02-2024,Active,"['152 / NO.9', 'TRIQ IN- NAXXAR', 'SAN GWANN', 'SGN 9030', 'Malta']"
C 107782,C 107782,Taste of India Limited,20-02-2024,Active,"['TASTE OF INDIA', 'TRIQ L- IMHALLEF PAOLO DEBONO', 'MSIDA', 'MSD 2030', 'Malta']"
C 107783,C 107783,FENGARI MARINE LTD.,20-02-2024,Active,"['18/2', 'TRIQ NOFS IN-NHAR', 'VALLETTA', 'VLT 1102', 'Malta']"
C 107784,C 107784,Envirohale Malta Holdings Limited,20-02-2024,Active,"['NO 6', 'SQAQ IX- XATT NRU. 2', 'PIETA', 'PTA 1611', 'Malta']"
C 107785,C 107785,MICROCHIP TECHNOLOGY MALTA LIMITED,2/2/2024,Active,"['OFFICE 28 VERDALA BUSINESS CENTRE LEVEL 2 LM COMPLEX BREWERY STREET', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 3040', 'Malta']"
C 107788,C 107788,Marielle 24/7 Healthcare Services Ltd.,20-02-2024,Active,"['AGORA BUSINESS CENTRE LEVEL 2', ""TRIQ IL- WIED TA' L-IMSIDA"", 'MSIDA', 'MSD 9020', 'Malta']"
C 107789,C 107789,Marielle Healthcare Consultancy Ltd.,20-02-2024,Active,"['AGORA BUSINESS CENTRE LEVEL 2', ""TRIQ IL- WIED TA' L-IMSIDA"", 'MSIDA', 'MSD 9020', 'Malta']"
C 107790,C 107790,PRD HOMES LTD.,6/2/2024,Active,"['CITYBEL LEVEL 0 (SHOP)', 'TRIQ SANTA MARTA', 'RABAT, GHAWDEX', 'VCT 2551', 'Malta']"
C 107791,C 107791,DRIP DROP LTD.,19-02-2024,Active,"['CASA ROMA', 'TRIQ SIR AUGUSTUS BARTOLO', 'TA XBIEX', 'XBX 1099', 'Malta']"
C 107792,C 107792,3BM LIMITED,19-02-2024,Active,"['CRAVE HOUSE', 'TRIQ SAN BERNARD', 'MARSA', 'MRS 1330', 'Malta']"
C 107793,C 107793,Flamingo Media Holding LIMITED,13-02-2024,Active,"['INTERNATIONAL HOUSE', 'Triq l- Imdina', 'BIRKIRKARA', 'BKR 3000', 'Malta']"
C 107794,C 107794,High Grade Developers Limited,20-02-2024,Active,"['87 ST RITA', 'TRIQ SAN GORG', 'SANTA VENERA', 'SVR 1102', 'Malta']"
C 107795,C 107795,Advantech Automation Corporation Limited,30-01-2024,Active,"['93 ZONE 5 CENTRAL BUSINESS DISTRICT', 'TRIQ IL- MITHNA', 'QORMI', 'CBD 5090', 'Malta']"
C 107796,C 107796,VellaSant Limited,22-02-2024,Active,"['22 FLOOR 1 ROOM 1', 'TRIQ LEWIS F. MIZZI', 'IKLIN', 'IKL 1061', 'Malta']"
C 107797,C 107797,TROPICANA MOONRISE LTD.,20-02-2024,Active,"['LEVEL 5 CAROLINA COURT', ""TRIQ GIUSEPPE CALI'"", 'TA XBIEX', 'XBX 1425', 'Malta']"
C 107798,C 107798,20 Good Summers Limited,21-02-2024,Active,"['LEVEL 5 ST.JULIANS BUSINESS CENTRE', 'TRIQ ELIJA ZAMMIT', 'SAN GILJAN', 'STJ 3153', 'Malta']"
C 107799,C 107799,Edel Food and Agriculture Limited,13-02-2024,Active,"['PYKETREE BUSINESS CENTRE SUITE 3 ZONE 5 CENTRAL BUSINESS DISTRICT', 'INDUSTRY STREET', 'SANTA VENERA', 'CBD 5030', 'Malta']"
C 107800,C 107800,Nozaca LTD.,13-02-2024,Active,"['OFFICE 1 SAN GUZEPP COURT', 'TRIQ BORG GERITU', 'RABAT, GHAWDEX', 'VCT 1763', 'Malta']"
C 107801,C 107801,Dolce Vita Malta Shipping Limited,15-02-2024,Active,"['THE CORE', ""TRIQ IL- WIED TA' L-IMSIDA"", 'MSIDA', 'MSD 9021', 'Malta']"
C 107802,C 107802,TUCA Holdings Ltd.,21-02-2024,Active,"['CASA PREZIOSI 136', 'TRIQ SAN KRISTOFRU', 'VALLETTA', 'VLT 1463', 'Malta']"
C 107803,C 107803,Hinge Holding Ltd.,20-02-2024,Active,"['THE PENTHOUSE 20 LYONS RANGE COURT', 'TRIQ BISAZZA', 'SLIEMA', 'SLM 1640', 'Malta']"
C 107804,C 107804,GRANTURO SERVICES LTD.,22-02-2024,Active,"['LEVEL 3 (SUITE 3362) TOWER BUSINESS CENTRE', 'TRIQ IT- TORRI', 'SWATAR BIRKIRKARA', 'BKR 4013', 'Malta']"
C 107805,C 107805,PROSPERITY VISION LTD.,22-02-2024,Active,"[""23 FL 3/4 'SOUTH HOUSE'"", 'TRIQ HOMPESCH', 'FGURA', 'FGR 2010', 'Malta']"
C 107806,C 107806,Mundo Ventures Limited,22-02-2024,Active,"['LEVEL 3 (SUITE NO. 3198) TOWER BUSINESS CENTRE', 'TRIQ IT- TORRI, SWATAR', 'BIRKIRKARA', 'BKR 4013', 'Malta']"
C 107807,C 107807,AG ADVISORY LIMITED,22-02-2024,Active,"['17 ESPERA', 'TRIQ FRANCIS X. EBEJER', 'SWIEQI', 'SWQ 2172', 'Malta']"
C 107808,C 107808,Nadia Group Ltd.,22-02-2024,Active,"['36', 'TRIQ MAMO', 'ZEBBUG', 'ZBG 2408', 'Malta']"
C 107809,C 107809,Ifritek Limited,21-02-2024,Active,"['INTERNATIONAL HOUSE', 'Triq l- Imdina', 'BIRKIRKARA', 'BKR 3000', 'Malta']"
C 107810,C 107810,HORTENSIA INVESTMENT MALTA Limited,22-02-2024,Active,"['175 LEVEL 1', 'VJAL L- INDIPENDENZA', 'MOSTA', 'MST 9024', 'Malta']"
C 107811,C 107811,BLACKFYRE AVIATION MALTA LIMITED,8/2/2024,Active,"['LEVEL 3 SKYPARKS BUSINESS CENTRE', 'MALTA INTERNATIONAL AIRPORT', 'LUQA', 'LQA 4000', 'Malta']"
C 107812,C 107812,MLF International Holding Limited,22-02-2024,Active,"['LEVEL 3 (SUITE NO. 3204) TOWER BUSINESS CENTRE', 'TRIQ IT- TORRI, SWATAR', 'BIRKIRKARA', 'BKR 4013', 'Malta']"
C 107813,C 107813,Just In Case (J.I.C.) Ltd.,22-02-2024,Active,"['SITRUC HOUSE APARTMENT 11', ""TRIQ GUZE' AZZOPARDI"", 'SAN GWANN', 'SGN 3120', 'Malta']"
C 107814,C 107814,Nona's Ltd.,22-02-2024,Active,"['CENTRIS BUSINESS GATEWAY, LEVEL 4/W, TRIQ IS-SALIB TAL-IMRIEHEL, ZONE 3,', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 3020', 'Malta']"
C 107815,C 107815,FS Tec Holding LIMITED,23-02-2024,Active,"['47 OYIA BUILDING LEVEL 0', 'TRIQ IS- SALIB TAL-MARSA', 'MARSA', 'MRS 1574', 'Malta']"
C 107816,C 107816,Nurture Limited,23-02-2024,Active,"[""TONY'S COURT FLT 5"", 'TRIQ IL- MUNGBELL', 'MARSALFORN, GHAWDEX', 'MFN 1213', 'Malta']"
C 107817,C 107817,HAGAKURE LTD.,23-02-2024,Active,"['LEVEL 5 CAROLINA COURT', ""TRIQ GIUSEPPE CALI'"", 'TA XBIEX', 'XBX 1425', 'Malta']"
C 107818,C 107818,EternitX Limited,23-02-2024,Active,"['20', 'TRIQ L- ADRIJATIKU', 'SAN GWANN', 'SGN 1810', 'Malta']"
C 107819,C 107819,SBC Capital Malta HoldCo Ltd.,23-02-2024,Active,"['LEVEL G (OFFICE 1/1144) QUANTUM HOUSE 75', 'TRIQ L- ABATE RIGORD', 'TA XBIEX', 'XBX 1120', 'Malta']"
C 107820,C 107820,Homemate Mosta Ltd.,23-02-2024,Active,"['HOMEMATE TRIQ L-IMPRENDITURI ZONE 3', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 3090', 'Malta']"
C 107821,C 107821,CK Consultancy Limited,23-02-2024,Active,"['16', 'TRIQ IGNAZIO GAVINO BONAVITA', 'PEMBROKE', 'PBK 1150', 'Malta']"
C 107822,C 107822,WORLD SUPPORT LTD.,20-02-2024,Active,"['THE PENTHOUSE 20 LYONS RANGE COURT', 'TRIQ BISAZZA', 'SLIEMA', 'SLM 1640', 'Malta']"
C 107823,C 107823,Risparmio Casa Malta Limited,22-02-2024,Active,"['ZENTRUM BUSINESS CENTRE', 'TRIQ L- IMDINA', 'QORMI', 'QRM 9010', 'Malta']"
C 107824,C 107824,Rangvald Property Ltd.,20-02-2024,Active,"['171', 'TRIQ L- IFRAN', 'VALLETTA', 'VLT 1455', 'Malta']"
C 107825,C 107825,VILLE CASALI HOLDINGS LTD.,26-02-2024,Active,"['102 SUITE 3', 'TRIQ SANTA KATERINA', 'ATTARD', 'ATD 2605', 'Malta']"
C 107826,C 107826,Cornelis Jacobs Consultancy Limited,26-02-2024,Active,"['LEVEL G (OFFICE 1/1176) QUANTUM HOUSE 75', 'TRIQ L- ABATE RIGORD', 'TA XBIEX', 'XBX 1120', 'Malta']"
C 107827,C 107827,DEAL CONNECT LTD.,26-02-2024,Active,"['LEVEL 2 HAL MANN BUSINESS CENTRE', 'Triq il- Mosta', 'LIJA', 'LJA 9016', 'Malta']"
C 107828,C 107828,Everard Holdings Ltd.,26-02-2024,Active,"['36 FLAT 3', 'TRIQ L- ABBATE SAVOIA', 'NAXXAR', 'NXR 1141', 'Malta']"
C 107829,C 107829,Leads Cubed Limited,26-02-2024,Active,"['229 COMMERCIAL AREA', 'TRIQ IT- TORRI', 'SLIEMA', 'SLM 1601', 'Malta']"
C 107830,C 107830,Xciting Group Limited,21-02-2024,Active,"['229 COMMERCIAL AREA', 'TRIQ IT- TORRI', 'SLIEMA', 'SLM 1601', 'Malta']"
C 107831,C 107831,PRO NAK LIMITED,26-02-2024,Active,"['2 AMAZON', 'TRIQ THOMAS ASHBY', 'MARSASKALA', 'MSK 3222', 'Malta']"
C 107832,C 107832,Envirohale Malta Medtech Limited,26-02-2024,Active,"['NO 6', 'SQAQ IX- XATT NRU. 2', 'PIETA', 'PTA 1611', 'Malta']"
C 107833,C 107833,The Access Subsidiary Malta Ltd.,14-02-2024,Active,"['LEVEL 4 PIAZZETTA BUSINESS PLAZA', 'TRIQ GHAR IL-LEMBI', 'SLIEMA', 'SLM 1605', 'Malta']"
C 107834,C 107834,CHRYNI MARINE LIMITED,26-02-2024,Active,"[""LEVEL 4 'THE PENTHOUSE' SUITE 2 EWROPA BUSINESS CENTRE"", 'TRIQ DUN KARM', 'BIRKIRKARA', 'BKR 9034', 'Malta']"
C 107835,C 107835,Air Solutions HVAC Limited,27-02-2024,Active,"['58', 'TRIQ DONATO DEL PIANO', 'ZURRIEQ', 'ZRQ 2240', 'Malta']"
C 107836,C 107836,Hexa Prop Holding Ltd.,27-02-2024,Active,"['ADD MALTA LEVEL 2 HARDROCKS BUSINESS PARK', 'TRIQ BURMARRAD', 'NAXXAR', 'NXR 6345', 'Malta']"
C 107837,C 107837,Razk Construction Malta Ltd.,27-02-2024,Active,"['THE J BUSINESS CENTRE', 'TRIQ TESTAFERRATA', 'TA XBIEX', 'XBX 1406', 'Malta']"
C 107838,C 107838,Med-way Imports LIMITED,27-02-2024,Active,"['33', 'TRIQ PATRI INDRI VELLA', 'PEMBROKE', 'PBK 1315', 'Malta']"
